
166.7.82.190	"10:20 am  Thursday February 4, 2016"	1	2014.05.01	"*_Johny_crow_mod_2_ "
72.160.48.254	"08:48 pm  Friday February 19, 2016"	301	2014.05.01	"*_Trail_Creek-1_ "
72.160.48.254	"06:52 am  Saturday February 20, 2016"	301	2014.05.01	"*_Trail_Creek-1_ "
72.160.48.254	"07:00 am  Saturday February 20, 2016"	125	2014.05.01	"*_Trail_Creek-1_ "
72.160.48.254	"07:49 am  Saturday February 20, 2016"	176	2014.05.01	"*_Trail_Creek-1_ _ _ "
72.160.48.254	"08:46 am  Saturday February 20, 2016"	176	2014.05.01	"*_Trail_Creek-1_ _ _ "
72.160.48.254	"10:11 am  Saturday February 20, 2016"	176	2014.05.01	"*_Trail_Creek-1_ _ _ "
72.160.48.254	"12:58 pm  Saturday February 20, 2016"	125	2014.05.01	"*_Trail_Creek-1_ _ _ "
72.160.48.254	"01:48 pm  Saturday February 20, 2016"	125	2014.05.01	"*_Trail_Creek-1_ _ _ "
72.160.36.159	"04:02 pm  Sunday February 21, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"04:52 pm  Sunday February 21, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"05:46 pm  Sunday February 21, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"06:55 pm  Sunday February 21, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
166.7.111.177	"07:22 am  Monday February 22, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.163.89	"09:39 am  Monday February 22, 2016"	17	2014.05.01	"*_Mex_Mtn_ "
166.7.111.177	"09:41 am  Monday February 22, 2016"	77	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.163.89	"09:49 am  Monday February 22, 2016"	17	2014.05.01	"*_Mex_Mtn_ "
166.7.111.177	"09:54 am  Monday February 22, 2016"	77	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"09:57 am  Monday February 22, 2016"	77	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"09:59 am  Monday February 22, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage_2_ "
72.160.36.159	"04:52 pm  Monday February 22, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"05:09 pm  Monday February 22, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"05:49 pm  Monday February 22, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"00:40 am  Tuesday February 23, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"07:57 am  Tuesday February 23, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"09:11 am  Tuesday February 23, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"12:09 pm  Tuesday February 23, 2016"	238	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"01:49 pm  Tuesday February 23, 2016"	238	2014.05.01	"*_Trail_Creek_Salvage-2_ "
170.144.123.227	"02:09 pm  Tuesday February 23, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage_2_ "
170.144.123.227	"02:18 pm  Tuesday February 23, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage_2_ "
72.160.36.159	"03:47 pm  Tuesday February 23, 2016"	125	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"04:48 pm  Tuesday February 23, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"05:12 pm  Tuesday February 23, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage-2_ "
166.7.111.177	"06:45 am  Wednesday February 24, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:00 am  Wednesday February 24, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"09:41 am  Wednesday February 24, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:39 am  Wednesday February 24, 2016"	151	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"01:08 pm  Wednesday February 24, 2016"	151	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"02:30 pm  Wednesday February 24, 2016"	150	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"04:36 pm  Wednesday February 24, 2016"	150	2014.05.01	"*_Trail_Creek_Salvage_2_ "
72.160.36.159	"08:11 pm  Wednesday February 24, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage-2_ "
166.7.111.177	"06:57 am  Thursday February 25, 2016"	100	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:02 am  Thursday February 25, 2016"	101	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:51 am  Thursday February 25, 2016"	101	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"12:33 pm  Thursday February 25, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"01:30 pm  Thursday February 25, 2016"	101	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"02:13 pm  Thursday February 25, 2016"	99	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"02:53 pm  Thursday February 25, 2016"	101	2014.05.01	"*_Trail_Creek_Salvage_2_ "
170.144.103.228	"08:08 am  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage-2_ "
170.144.103.228	"08:10 am  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage-2_ "
170.144.103.228	"08:11 am  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"08:30 am  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage-2_ "
166.7.111.177	"11:08 am  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"12:02 pm  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"01:09 pm  Friday February 26, 2016"	101	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"02:02 pm  Friday February 26, 2016"	151	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"02:32 pm  Friday February 26, 2016"	103	2014.05.01	"*_Trail_Creek_Salvage_2_ "
72.160.36.159	"06:52 pm  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"07:38 pm  Friday February 26, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"08:26 pm  Friday February 26, 2016"	101	2014.05.01	"*_Trail_Creek_Salvage-2_ "
72.160.36.159	"06:25 am  Saturday February 27, 2016"	76	2014.05.01	"*_Trail_Creek_Salvage-2_ "
166.7.111.177	"05:57 am  Monday February 29, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:37 am  Monday February 29, 2016"	77	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:05 am  Monday February 29, 2016"	77	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:36 am  Monday February 29, 2016"	115	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:35 am  Monday February 29, 2016"	119	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"09:11 am  Monday February 29, 2016"	119	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"09:54 am  Monday February 29, 2016"	76	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"10:27 am  Monday February 29, 2016"	86	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:09 am  Monday February 29, 2016"	86	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:36 am  Monday February 29, 2016"	76	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"12:03 pm  Monday February 29, 2016"	76	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"01:19 pm  Monday February 29, 2016"	51	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"03:16 pm  Monday February 29, 2016"	86	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:02 am  Tuesday March 1, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"03:28 pm  Tuesday March 1, 2016"	11	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"03:41 pm  Tuesday March 1, 2016"	11	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:01 am  Thursday March 3, 2016"	137	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:44 am  Thursday March 3, 2016"	51	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:17 am  Thursday March 3, 2016"	26	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:27 am  Thursday March 3, 2016"	11	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:35 am  Thursday March 3, 2016"	20	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:42 am  Thursday March 3, 2016"	13	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:47 am  Thursday March 3, 2016"	11	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:57 am  Thursday March 3, 2016"	15	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:58 am  Thursday March 3, 2016"	15	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:59 am  Thursday March 3, 2016"	15	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:01 am  Thursday March 3, 2016"	11	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:03 am  Thursday March 3, 2016"	10	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:04 am  Thursday March 3, 2016"	6	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:05 am  Thursday March 3, 2016"	1	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:11 am  Thursday March 3, 2016"	15	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:15 am  Thursday March 3, 2016"	11	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:25 am  Thursday March 3, 2016"	16	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:37 am  Thursday March 3, 2016"	12	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"02:22 pm  Friday March 4, 2016"	1	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"10:27 am  Monday March 7, 2016"	282	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"12:06 pm  Monday March 7, 2016"	244	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"12:27 pm  Monday March 7, 2016"	244	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"12:27 pm  Monday March 7, 2016"	244	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"12:39 pm  Monday March 7, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"04:33 pm  Monday March 7, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"08:23 pm  Monday March 7, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"11:25 am  Tuesday March 8, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"02:05 pm  Tuesday March 8, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"05:52 pm  Tuesday March 8, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"10:50 pm  Tuesday March 8, 2016"	244	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"10:51 pm  Tuesday March 8, 2016"	244	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:39 am  Wednesday March 9, 2016"	301	2014.05.01	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"09:57 am  Wednesday March 9, 2016"	277	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"10:35 am  Wednesday March 9, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:03 am  Wednesday March 9, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:10 am  Wednesday March 9, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"11:56 am  Wednesday March 9, 2016"	277	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"01:54 pm  Wednesday March 9, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"05:18 pm  Wednesday March 9, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"05:21 pm  Wednesday March 9, 2016"	16	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"05:40 pm  Wednesday March 9, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"05:31 am  Thursday March 10, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:48 am  Thursday March 10, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"10:50 am  Thursday March 10, 2016"	32	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"11:24 am  Thursday March 10, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"12:44 pm  Thursday March 10, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"03:25 pm  Thursday March 10, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"05:47 pm  Thursday March 10, 2016"	238	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.2.22.221	"07:35 pm  Thursday March 10, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:38 am  Friday March 11, 2016"	26	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:55 am  Friday March 11, 2016"	26	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:16 am  Friday March 11, 2016"	41	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"07:41 am  Friday March 11, 2016"	76	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"08:19 am  Friday March 11, 2016"	132	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"11:02 am  Friday March 11, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
170.144.114.110	"06:36 pm  Friday March 11, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
170.144.114.110	"08:40 pm  Friday March 11, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
170.144.114.110	"01:24 am  Saturday March 12, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
170.144.114.110	"09:51 am  Saturday March 12, 2016"	1307	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
170.144.108.21	"06:03 am  Monday March 14, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
170.144.108.21	"07:07 am  Monday March 14, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
170.144.108.21	"07:55 am  Monday March 14, 2016"	238	2012.08.23	"*_Trail_Creek_Salvage_2_ _ "
166.7.111.177	"12:18 pm  Monday March 14, 2016"	1180	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"03:42 pm  Monday March 14, 2016"	1481	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"06:24 am  Tuesday March 15, 2016"	301	2012.08.23	"*_Trail_Creek_Salvage_2_ "
166.7.111.177	"03:05 pm  Tuesday March 15, 2016"	951	2012.08.23	"*_Trail_Creek_Salvage_2_ "
172.17.5.32	"06:57 am  Tuesday May 10, 2016"	1	2014.05.01	"*_DEER_FLAT_DAM_ID"
172.17.68.24	"01:07 am  Tuesday May 31, 2016"	2	2014.05.01	"*_MIDDLETOWN_4_W_CT"
166.5.180.159	"03:44 pm  Tuesday June 28, 2016"	78	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"09:28 pm  Tuesday June 28, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"09:51 pm  Tuesday June 28, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"09:52 pm  Tuesday June 28, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"09:53 pm  Tuesday June 28, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"09:55 pm  Tuesday June 28, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"07:06 am  Wednesday June 29, 2016"	72	2012.08.23	"*_Sherpa_Fire_ "
166.5.180.159	"07:13 am  Wednesday June 29, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"07:16 am  Wednesday June 29, 2016"	72	2012.08.23	"*_Sherpa_Fire_ "
166.5.180.159	"07:28 am  Wednesday June 29, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
166.5.180.159	"07:39 am  Wednesday June 29, 2016"	72	2014.05.01	"*_Sherpa_Fire_ "
170.144.97.91	"11:55 am  Monday July 4, 2016"	24	2014.05.01	"*_San_Gabriel_Complex_ "
170.144.97.91	"12:02 pm  Monday July 4, 2016"	24	2014.05.01	"*_San_Gabriel_Complex_ "
166.5.175.44	"06:40 pm  Sunday July 10, 2016"	206	2014.05.01	"*_ErskineFire_17.48in_ "
166.5.128.35	"03:02 pm  Sunday July 17, 2016"	40	2014.05.01	"*_Trailhead_Fire_ "
166.5.128.35	"03:08 pm  Sunday July 17, 2016"	40	2014.05.01	"*_Trailhead_Fire_ "
166.7.111.191	"09:22 am  Tuesday July 19, 2016"	88	2012.08.23	"*_WMWRx_ "
166.7.111.191	"09:23 am  Tuesday July 19, 2016"	88	2012.08.23	"*_WMWRx_ "
166.7.111.191	"09:43 am  Tuesday July 19, 2016"	88	2012.08.23	"*_WMWRx_ "
166.7.111.191	"09:46 am  Tuesday July 19, 2016"	88	2012.08.23	"*_WMWRx_ "
166.7.111.191	"09:52 am  Tuesday July 19, 2016"	88	2012.08.23	"*_WMWRx_ "
166.7.111.191	"11:57 am  Tuesday July 19, 2016"	88	2012.08.23	"*_WMWRx_ "
166.7.163.81	"10:26 am  Thursday August 4, 2016"	4	2014.05.01	"*_FENN_RS_ID"
166.7.163.81	"12:39 pm  Thursday August 4, 2016"	22	2014.05.01	"*_FENN_RS_ID"
166.7.163.81	"12:30 pm  Friday August 5, 2016"	43	2014.05.01	"*_FENN_RS_ID"
166.7.163.81	"12:33 pm  Friday August 5, 2016"	43	2014.05.01	"*_FENN_RS_ID"
170.144.214.213	"11:46 am  Saturday August 13, 2016"	184	2014.05.01	"*_SandFire_ "
170.144.214.213	"11:49 am  Saturday August 13, 2016"	184	2014.05.01	"*_SandFire_ "
170.144.214.213	"11:50 am  Saturday August 13, 2016"	184	2014.05.01	"*_SandFire_ "
170.144.214.213	"11:51 am  Saturday August 13, 2016"	184	2014.05.01	"*_SandFire_ "
129.101.49.97	"01:01 pm  Saturday August 20, 2016"	1	2014.05.01	"*_FENN_RS_ID_ "
129.101.49.97	"01:01 pm  Saturday August 20, 2016"	1	2014.05.01	"*_FENN_RS_ID_ "
129.101.49.97	"01:02 pm  Saturday August 20, 2016"	1	2014.05.01	"*_FENN_RS_ID_ "
129.101.49.97	"01:03 pm  Saturday August 20, 2016"	1	2012.08.23	"*_FENN_RS_ID_ "
166.2.12.69	"07:56 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"08:09 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"08:45 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"08:47 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"08:49 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"08:53 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"09:03 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.21	"09:04 am  Friday August 26, 2016"	380	2014.05.01	"*_Pioneer_Fire_ID_ _ "
166.2.12.69	"09:29 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"09:48 am  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.21	"11:29 am  Friday August 26, 2016"	380	2014.05.01	"*_Pioneer_Fire_ID_ _ "
166.2.12.21	"01:35 pm  Friday August 26, 2016"	380	2014.05.01	"*_Pioneer_Fire_ID_ _ "
166.2.12.69	"02:06 pm  Friday August 26, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.2.12.69	"06:33 am  Saturday August 27, 2016"	380	2014.05.01	"*_DEADWOOD_DAM_ID_ "
166.5.207.183	"02:30 pm  Monday August 29, 2016"	585	2012.08.23	"Multiple_Climates"
166.5.207.183	"03:01 pm  Monday August 29, 2016"	585	2012.08.23	"Multiple_Climates"
166.5.207.183	"04:53 pm  Monday August 29, 2016"	257	2012.08.23	"Multiple_Climates"
166.5.207.183	"06:13 pm  Monday August 29, 2016"	119	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.183	"06:35 pm  Monday August 29, 2016"	119	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.183	"07:48 pm  Monday August 29, 2016"	119	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.183	"08:10 pm  Monday August 29, 2016"	257	2012.08.23	"Multiple_Climates"
166.5.207.57	"01:59 pm  Tuesday August 30, 2016"	289	2012.08.23	"Multiple_Climates"
166.5.207.57	"04:21 pm  Tuesday August 30, 2016"	20	2012.08.23	"0"
166.5.207.57	"04:21 pm  Tuesday August 30, 2016"	20	2012.08.23	"0"
166.5.207.57	"04:21 pm  Tuesday August 30, 2016"	20	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"08:43 am  Wednesday August 31, 2016"	10	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"08:49 am  Wednesday August 31, 2016"	7	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"09:13 am  Wednesday August 31, 2016"	44	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"09:24 am  Wednesday August 31, 2016"	58	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"09:38 am  Wednesday August 31, 2016"	119	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"10:07 am  Wednesday August 31, 2016"	119	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"10:29 am  Wednesday August 31, 2016"	7	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"10:34 am  Wednesday August 31, 2016"	43	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"10:45 am  Wednesday August 31, 2016"	49	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"10:56 am  Wednesday August 31, 2016"	64	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"11:08 am  Wednesday August 31, 2016"	32	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"11:17 am  Wednesday August 31, 2016"	285	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.6.157.82	"11:32 am  Wednesday August 31, 2016"	1	2014.05.01	"*_WALLOWA_OR_ "
166.6.157.82	"11:33 am  Wednesday August 31, 2016"	1	2014.05.01	"*_WALLOWA_OR_ "
166.6.157.82	"11:34 am  Wednesday August 31, 2016"	1	2014.05.01	"*_WALLOWA_OR_ "
166.6.157.82	"11:35 am  Wednesday August 31, 2016"	1	2014.05.01	"*_WALLOWA_OR_ "
