Scientific Name	Folder Name	Common Name
Quercus gambelii	quegam	Gambel oak
Quercus garryana	quegar	Oregon white oak
Quercus grisea	quegri	gray oak
Quercus havardii	quehav	sand shinnery oak
Quercus incana	queinc	bluejack oak
Quercus kelloggii	quekel	California black oak
Quercus laevis	quelae	turkey oak
Quercus laurifolia	quelau	laurel oak
Quercus lobata	quelob	valley oak
Quercus lyrata	quelyr	overcup oak
Quercus macrocarpa	quemac	bur oak
Quercus marilandica	quemar	blackjack oak
Quercus michauxii	quemic	swamp chestnut oak
Quercus muehlenbergii	quemue	chinkapin oak
Quercus nigra	quenig	water oak
Quercus oblongifolia	queobl	Mexican blue oak
Quercus palustris	quepal	pin oak
Quercus phellos	quephe	willow oak
Quercus prinus	quepri	chestnut oak
Quercus pungens	quepun	sandpaper oak
Quercus rubra	querub	northern red oak
Quercus shumardii	queshu	Shumard oak
Quercus stellata	queste	post oak
Quercus turbinella	quetur	shrub live oak
Quercus vaccinifolia	quevac	huckleberry oak
Quercus velutina	quevel	black oak
Quercus virginiana	quevir	live oak
Quercus wislizenii	quewis	interior live oak
Ranunculus gelidus	rangel	arctic buttercup
Ranunculus glaberrimus	rangla	sagebrush buttercup
Ranunculus pedatifidus	ranped	birdfoot buttercup
Ratibida columnifera	ratcol	upright prairie coneflower
Rhamnus californica	rhacal	California coffeeberry
Rhamnus purshiana	rhapur	cascara
Rhododendron calendulaceum	rhocae	flame azalea
Rhododendron macrophyllum	rhomac	Pacific rhododendron
Rhododendron maximum	rhomax	rosebay
Rhododendron periclymenoides	rhoper	wild honeysuckle
Rhus aromatica	rhuaro	fragrant sumac
Rhus copallina	rhucop	flameleaf sumac
Rhus glabra	rhugla	smooth sumac
Rhus microphylla	rhumic	littleleaf sumac
Rhus trilobata	rhutri	skunkbush sumac
Rhus typhina	rhutyp	staghorn sumac
Ribes americanum	ribame	American black currant
Ribes aureum	ribaur	golden currant
Ribes cereum	ribcer	wax currant
Ribes lacustre	riblac	bristly black currant
Ribes montigenum	ribmon	gooseberry currant
Ribes oxyacanthoides	riboxy	northern gooseberry
Ribes velutinum	ribvel	desert gooseberry
Robinia neomexicana	robneo	New Mexico locust
Robinia pseudoacacia	robpse	black locust
Rosa acicularis	rosaci	prickly rose
Rosa gymnocarpa	rosgym	baldhip rose
Rosa multiflora	rosmul	multiflora rose
Rosa nutkana	rosnut	Nootka rose
Rosa woodsii	roswoo	Wood's rose
Rubus canadensis	rubcan	thornless blackberry
Rubus chamaemorus	rubcha	cloudberry
Rubus chamaemorus	rubcha	cloudberry
Rubus discolor	rubdis	Himalayan blackberry
Rubus idaeus	rubida	red raspberry
Rubus laciniatus	rublac	evergreen blackberry
Rubus parviflorus	rubpar	thimbleberry
Rubus spectabilis	rubspe	salmonberry
Rubus ursinus	ruburs	trailing blackberry
Rudbeckia hirta	rudhir	black-eyed Susan
Rumex acetosella	rumace	sheep sorrel
Sabal palmetto	sabpal	cabbage palmetto
Salazaria mexicana	salmex	bladdersage
Salix alaxensis	salala	Alaska willow
Salix amygdaloides	salamy	peachleaf willow
Salix arbusculoides	salarb	littletree willow
Salix barrattiana	salbar	Barratt willow
Salix bebbiana	salbeb	Bebb willow
Salix boothii	salboo	Booth willow
Salix brachycarpa	salbra	barren-ground willow
Salix drummondiana	saldru	Drummond willow
Salix exigua	salexi	sandbar willow
Salix fuscescens	salfus	Alaska bog willow
Salix geyeriana	salgey	Geyer willow
Salix glauca	salgla	grayleaf willow
Salix gooddingii	salgoo	Goodding willow
Salix hastata	salhas	Halberd willow
Salix lanata ssp. richardsonii	sallanr	Richardson willow
Salix lasiandra	sallas	Pacific willow
Salix lemmonii	sallem	Lemmons willow
Salix lutea	sallut	yellow willow
Salix monticola	salmon	mountain willow
Salix myrtillifolia	salmyr	blueberry willow
Salix nigra	salnig	black willow
Salix planifolia ssp. planifolia	salplap	planeleaf willow
Salix planifolia ssp. pulchra	salplnp	diamondleaf willow
Salix scouleriana	salsco	Scouler willow
Salix serissima	salser	fall willow
Salsola kali	salkal	Russian-thistle
Salvia mellifera	salmel	black sage
Sambucus cerulea	samcer	blue elderberry
Sambucus racemosa ssp. pubens	samracp	red elderberry
Sapindus saponaria var. drummondii	sapsapd	western soapberry
Sarcobatus vermiculatus	sarver	black greasewood
Sarracenia minor	sarmin	hooded pitcher-plant
Sarracenia purpurea	sarpur	pitcher-plant
Sassafras albidum	sasalb	sassafras
Schinus terebinthifolia	schter	Brazilian pepper
Schizachyrium scoparium	schsco	little bluestem
Schizachyrium tenerum	schten	slender bluestem
Scirpus acutus	sciacu	hardstem bulrush
Scirpus americanus	sciame	Olney threesquare
Scirpus hudsonianus	scihud	Hudson's Bay bulrush
Scirpus robustus	scirob	saltmarsh bulrush
Scirpus subterminalis	scisub	water bulrush
Scirpus validus	scival	soft-stem bulrush
Scolochloa festucacea	scofes	whitetop
Selaginella densa	selden	little clubmoss
Sequoia sempervirens	seqsem	redwood
Sequoiadendron giganteum	seqgig	giant sequoia
Serenoa repens	serrep	saw-palmetto
Shepherdia argentea	shearg	silver buffaloberry
Shepherdia canadensis	shecan	russet buffaloberry
Simmondsia chinensis	simchi	jojoba
Sisymbrium altissimum	sisalt	tumblemustard
Sisymbrium linifolium	sislin	flaxleaf plainsmustard
Smilax bona-nox	smibon	saw greenbrier
Smilax laurifolia	smilau	laurelleaf greenbrier
Smilax rotundifolia	smirot	common greenbrier
Solidago canadensis	solcan	Canada goldenrod
Solidago missouriensis	solmis	prairie goldenrod
Sonchus arvensis	sonarv	perennial sowthistle
Sophora secundiflora	sopsec	mescalbean sophora
Sorbus americana	sorame	American mountain-ash
Sorbus sitchensis	sorsit	Sitka mountain-ash
Sorghastrum nutans	sornut	indiangrass
Sorghum halepense	sorhal	johnsongrass
Spartina alterniflora	spaalt	smooth cordgrass
Spartina patens	spapat	saltmeadow cordgrass
Spartina pectinata	spapec	prairie cordgrass
Sphaeralcea coccinea	sphcoc	scarlet globemallow
Spiraea betulifolia	spibet	white spiraea
Spiraea douglasii	spidou	Douglas' spirea
Sporobolus airoides	spoair	alkali sacaton
Sporobolus asper	spoasp	rough dropseed
Sporobolus cryptandrus	spocry	sand dropseed
Sporobolus flexuous	spofle	mesa dropseed
Sporobolus heterolepis	spohet	prairie dropseed
Sporobolus wrightii	spowri	big sacaton
Stipa columbiana	sticol	Columbia needlegrass
Stipa comata	sticom	needle-and-thread grass
Stipa lettermanii	stilet	Letterman needlegrass
Stipa richardsonii	stiric	Richardson needlegrass
Stipa spartea	stispa	porcupine grass
Stipa speciosa	stispe	desert needlegrass
Stipa thurberiana	stithu	Thurber needlegrass
Stipa viridula	stivir	green needlegrass
Symphoricarpos albus	symalb	common snowberry
Symphoricarpos longiflorus	symlon	longflower snowberry
Symphoricarpos mollis	symmol	creeping snowberry
Symphoricarpos occidentalis	symocc	western snowberry
Symphoricarpos oreophilus	symore	mountain snowberry
Taeniatherum caput-medusae	taecap	medusahead
Tamarix aphylla	tamaph	Athel tamarisk
Tamarix ramosissima	tamram	saltcedar
Taraxacum officinale	taroff	dandelion
Taxodium distichum	taxdis	baldcypress
Taxodium mucronatum	taxmuc	Montezuma baldcypress
Taxus brevifolia	taxbre	Pacific yew
Taxus candensis	taxcan	Canada yew
Taxus floridana	taxflo	Florida yew
Tetradymia canescens	tetcan	gray horsebrush
Tetradymia glabrata	tetgla	littleleaf horsebrush
Tetradymia nuttallii	tetnut	Nuttall horsebrush
Tetradymia spinosa	tetspi	spiny horsebrush
Thalictrum dioicum	thadio	early meadowrue
Thamnosma montana	thamon	Mojave desertrue
Thelypteris noveboracensis	thenov	New York fern
Thelypteris phegopteris	thephe	northern beech fern
Thermopsis mollis	themol	soft bush pea
Thuja occidentalis	thuocc	northern white-cedar
Thuja plicata	thupli	western redcedar
Tilia americana	tilame	basswood
Tofieldia pusilla	tofpus	little false asphodel
Torreya californica	torcal	California torreya
Torreya taxifolia	tortax	Florida torreya
Townsendia condensata	towcon	cushion townsendia
Toxicodendron diversilobum	toxdiv	poison-oak
Toxicodendron diversilobum	toxdiv	poison-oak
Toxicodendron radicans	toxrad	poison-ivy
Toxicodendron radicans	toxrad	poison-ivy
Toxicodendron rydbergii	toxryd	western poison-ivy
Toxicodendron toxicarium	toxtox	eastern poison-oak
Tridens muticus	trimut	slim tridens
Trifolium repens	trirep	white clover
Tsuga canadensis	tsucan	eastern hemlock
Tsuga caroliniana	tsucar	Carolina hemlock
Tsuga heterophylla	tsuhet	western hemlock
Tsuga mertensiana	tsumer	mountain hemlock
Typha angustifolia	typang	narrow-leaved cattail
Typha latifolia	typlat	common cattail
Ulmus americana	ulmame	American elm
Ulmus rubra	ulmrub	slippery elm
Umbellularia californica	umbcal	California bay
Ungnadia speciosa	ungspe	Mexican buckeye
Uniola paniculata	unipan	sea oats
Urtica dioica	urtdio	stinging nettle
Utricularia intermedia	utrint	mountain bladderwort
Vaccinium alaskensis	vacala	Alaska blueberry
Vaccinium angustifolium	vacang	low sweet blueberry
Vaccinium arboreum	vacarb	tree sparkleberry
Vaccinium caespitosum	vaccae	dwarf huckleberry
Vaccinium corymbosum	vaccor	highbush blueberry
Vaccinium membranaceum	vacmem	big huckleberry
Vaccinium myrsinites	vacmys	ground blueberry
Vaccinium myrtilloides	vacmyt	velvetleaf blueberry
Vaccinium myrtillus	vacmyr	dwarf bilberry
Vaccinium ovalifolium	vacovl	ovalleaf huckleberry
Vaccinium ovatum	vacova	evergreen huckleberry
Vaccinium oxycoccos	vacoxy	bog cranberry
Vaccinium pallidum	vacpal	hillside blueberry
Vaccinium parvifolium	vacpar	red huckleberry
Vaccinium scoparium	vacsco	grouse whortleberry
Vaccinium uliginosum	vaculi	bog blueberry
Vaccinium uliginosum ssp. occidentale	vaculio	western huckleberry
Vaccinium vitis-idaea	vacvit	mountain cranberry
Viburnum acerifolium	vibace	mapleleaf viburnum
Viburnum edule	vibedu	highbush cranberry
Vicia americana	vicame	American vetch
Viola renifolia	vioren	kidney-leaved violet
Vitis aestivalis	vitaes	summer grape
Vitis californica	vitcal	California wild grape
Vulpia microstachys	vulmic	small fescue
Vulpia myuros	vulmyu	foxtail fescue
Vulpia octoflora	vuloct	sixweeks fescue
Washingtonia filifera	wasfil	California palm
Woodwardia virginica	woovir	chain-fern
Wyethia amplexicaulis	wyeamp	mules ears
Xanthium strumarium	xanstr	common cocklebur
Xerophyllum tenax	xerten	beargrass
Yucca baccata	yucbac	banana yucca
Yucca brevifolia	yucbre	Joshua tree
Yucca elata	yucela	soaptree yucca
Yucca glauca	yucgla	soapweed yucca
Yucca schidigera	yucsch	Mojave yucca
Yucca whipplei	yucwhi	Our Lord's candle
Zigadenus paniculatus	zigpan	foothill deathcamas
Zigadenus venenosus	zigven	deathcamas
Ziziphus obtusifolia	zizobt	lotebush
Zuckia brandegei	zucbra	silt bush
