z166222-221.ip.fs.fed.us	01:04 am  Thursday January 1, 2009	my steve +	 LATT=  46.36 LONG= 113.94
128.111.110.180	03:30 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:32 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:32 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:33 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:33 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:34 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:35 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:35 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:36 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:37 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:38 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:38 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:39 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:39 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:40 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:41 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
131.236.43.51	05:31 pm  Monday January 5, 2009	MOUNT SHASTA CA	 LATT=  41.32 LONG=-122.32
snoopy.bren.ucsb.edu	07:57 pm  Monday January 5, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
snoopy.bren.ucsb.edu	07:57 pm  Monday January 5, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
snoopy.bren.ucsb.edu	07:58 pm  Monday January 5, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
snoopy.bren.ucsb.edu	07:58 pm  Monday January 5, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
snoopy.bren.ucsb.edu	07:59 pm  Monday January 5, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
99-196-199-135.cust.wildblue.net	12:07 pm  Tuesday January 6, 2009	ALAMOGORDO NM_7000ft +	 LATT=  32.82 LONG= 105.88
nessus.bren.ucsb.edu	02:34 pm  Tuesday January 6, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
nessus.bren.ucsb.edu	02:43 pm  Tuesday January 6, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
nessus.bren.ucsb.edu	02:46 pm  Tuesday January 6, 2009	SANTA BARBARA CA	 LATT=  34.42 LONG=-119.72
host-161-98-20-97.ci.boulder.co.us	11:19 am  Thursday January 8, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
host-161-98-20-97.ci.boulder.co.us	11:21 am  Thursday January 8, 2009	DENVER WB AP CO	 LATT=  39.77 LONG=-104.88
host-161-98-20-31.ci.boulder.co.us	12:59 pm  Thursday January 8, 2009	DENVER WB AP CO	 LATT=  39.77 LONG=-104.88
z166347-248.ip.fs.fed.us	11:20 am  Friday January 9, 2009	FORT BAYARD NM +	 LATT=  32.84 LONG= 108.07
z166347-248.ip.fs.fed.us	11:20 am  Friday January 9, 2009	FORT BAYARD NM +	 LATT=  32.84 LONG= 108.07
z166347-248.ip.fs.fed.us	11:27 am  Friday January 9, 2009	FORT BAYARD NM +	 LATT=  32.84 LONG= 108.07
z166222-194.ip.fs.fed.us	08:50 am  Monday January 12, 2009	Medicine Tree +	 LATT=  46.15 LONG= 113.95
z166222-158.ip.fs.fed.us	03:05 pm  Tuesday January 13, 2009	Gap Fire +	 LATT=  34.54 LONG= 119.80
z166222-158.ip.fs.fed.us	03:06 pm  Tuesday January 13, 2009	Gap Fire +	 LATT=  34.54 LONG= 119.80
nessus.bren.ucsb.edu	03:07 pm  Tuesday January 13, 2009	Gap Fire +	 LATT=  34.54 LONG= 119.84
z166222-158.ip.fs.fed.us	03:17 pm  Tuesday January 13, 2009	Gap Fire +	 LATT=  34.54 LONG= 119.80
blm-92-254.blm.gov	11:57 am  Wednesday January 14, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
z166222-158.ip.fs.fed.us	12:01 pm  Wednesday January 14, 2009	Gap Fire +	 LATT=  34.54 LONG= 119.80
ip72-200-79-7.tc.ph.cox.net	06:00 pm  Thursday January 15, 2009	RANGELY CO	 LATT=  40.08 LONG=-108.80
nessus.bren.ucsb.edu	02:06 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:15 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:18 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:20 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:21 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:23 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:40 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:48 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:51 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:31 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:36 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:38 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:44 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:48 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:50 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:52 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:54 pm  Friday January 16, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:57 pm  Friday January 16, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	10:48 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	10:54 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	10:59 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	11:03 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	11:08 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	11:13 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	11:17 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	11:20 am  Saturday January 17, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	11:32 am  Saturday January 17, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	11:36 am  Saturday January 17, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	11:40 am  Saturday January 17, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
h-69-3-54-26.dnvtco56.dynamic.covad.net	02:30 pm  Sunday January 18, 2009	DENVER WB AP CO	 LATT=  39.77 LONG=-104.88
nessus.bren.ucsb.edu	08:18 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:29 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:35 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:40 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:45 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:50 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:54 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	08:59 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	09:01 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:04 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:07 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:09 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:13 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:15 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:23 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:25 am  Monday January 19, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	09:42 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	09:45 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	09:48 am  Monday January 19, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
128.111.110.164	03:08 pm  Wednesday January 21, 2009	DENVER WB AP CO	 LATT=  39.77 LONG=-104.88
nessus.bren.ucsb.edu	04:05 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:12 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:17 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:23 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:24 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:27 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:31 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:45 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	04:48 pm  Wednesday January 21, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
z16675-154.ip.fs.fed.us	07:54 am  Thursday January 22, 2009	TAHOE CA +	 LATT=  39.26 LONG= 120.03
z16675-154.ip.fs.fed.us	08:00 am  Thursday January 22, 2009	TAHOE CA +	 LATT=  39.26 LONG= 120.03
nessus.bren.ucsb.edu	02:20 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:21 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:22 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:23 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:24 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:25 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:27 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:28 pm  Friday January 23, 2009	SANTA BARBARAHYDRO +	 LATT=  34.58 LONG= 120.04
nessus.bren.ucsb.edu	02:30 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	02:34 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	02:38 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	02:41 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	02:50 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	02:53 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	02:56 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	03:01 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
nessus.bren.ucsb.edu	03:04 pm  Friday January 23, 2009	SANTA BARBARAMission +	 LATT=  34.54 LONG= 119.72
99-196-199-135.cust.wildblue.net	03:10 pm  Monday January 26, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	09:27 am  Tuesday January 27, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	09:28 am  Tuesday January 27, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	09:33 am  Tuesday January 27, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	09:36 am  Tuesday January 27, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
z166612-4.ip.fs.fed.us	12:29 pm  Tuesday January 27, 2009	ALAMOGORDO NM +	 LATT=  32.90 LONG=-105.97
z166612-4.ip.fs.fed.us	12:38 pm  Tuesday January 27, 2009	ALAMOGORDO NM +	 LATT=  32.90 LONG=-105.97
z166612-4.ip.fs.fed.us	12:44 pm  Tuesday January 27, 2009	ALAMOGORDO NM +	 LATT=  32.90 LONG=-105.97
z166612-4.ip.fs.fed.us	12:54 pm  Tuesday January 27, 2009	ALAMOGORDO NM +	 LATT=  32.90 LONG=-105.97
99-196-199-135.cust.wildblue.net	10:03 am  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	10:04 am  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
z166222-194.ip.fs.fed.us	02:10 pm  Wednesday January 28, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
z166222-194.ip.fs.fed.us	02:22 pm  Wednesday January 28, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
z166222-194.ip.fs.fed.us	02:23 pm  Wednesday January 28, 2009	BRIDGEPORT CA +	 LATT=  38.45 LONG= 119.47
99-196-199-135.cust.wildblue.net	02:27 pm  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	02:28 pm  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	02:36 pm  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	03:18 pm  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
99-196-199-135.cust.wildblue.net	03:20 pm  Wednesday January 28, 2009	ALAMOGORDO NM_800ft +	 LATT=  32.95 LONG= 105.83
z166222-159.ip.fs.fed.us	10:13 am  Thursday January 29, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
99-196-199-135.cust.wildblue.net	10:52 am  Thursday January 29, 2009	ALAMOGORDO NM_7000ft +	 LATT=  32.82 LONG= 105.88
99-196-199-135.cust.wildblue.net	10:55 am  Thursday January 29, 2009	ALAMOGORDO NM_7000ft +	 LATT=  32.82 LONG= 105.88
adsl-71-146-5-186.dsl.pltn13.sbcglobal.net	11:15 pm  Thursday January 29, 2009	MOUNT SHASTA CA	 LATT=  41.32 LONG=-122.32
204.181.131.254	11:06 am  Sunday February 1, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:10 am  Sunday February 1, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	08:40 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
63-164-26-196.static.uninets.net	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:51 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	11:52 am  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
204.181.131.254	12:01 pm  Monday February 2, 2009	LIVINGSTON CAA AP MT	 LATT=  45.67 LONG=-110.53
z166264-118.ip.fs.fed.us	12:39 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
z166264-118.ip.fs.fed.us	12:41 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
z166264-118.ip.fs.fed.us	12:49 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
z166264-118.ip.fs.fed.us	01:00 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
z166264-118.ip.fs.fed.us	01:06 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
z166264-118.ip.fs.fed.us	01:08 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
z166264-118.ip.fs.fed.us	01:11 pm  Monday February 2, 2009	corn cr +	 LATT=  37.77 LONG=-111.60
