z166222-221.ip.fs.fed.us	01:04 am  Thursday January 1, 2009	3	  my steve +                            	 LATT=  46.36 LONG= 113.94
static-72-95-126-9.ptldme.east.verizon.net	08:57 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
static-72-95-126-9.ptldme.east.verizon.net	08:57 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
static-72-95-126-9.ptldme.east.verizon.net	08:59 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
static-72-95-126-9.ptldme.east.verizon.net	09:00 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
static-72-95-126-9.ptldme.east.verizon.net	09:00 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
static-72-95-126-9.ptldme.east.verizon.net	09:00 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
static-72-95-126-9.ptldme.east.verizon.net	09:01 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
blm-92-254.blm.gov	10:15 am  Monday January 5, 2009	30	  Lime_Ruby_MT +                        	 LATT=  47.14 LONG= 109.31
z166746-85.ip.fs.fed.us	01:55 pm  Monday January 5, 2009	30	  WALLACE WDLND PK ID                   	 LATT=  47.50 LONG=-115.88
z166746-85.ip.fs.fed.us	01:59 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:00 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:01 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:02 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:02 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:03 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:04 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:05 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:09 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:10 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:11 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:11 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:12 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:13 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	02:14 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	04:00 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	04:01 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	04:02 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
z166746-85.ip.fs.fed.us	04:02 pm  Monday January 5, 2009	30	  SEELEY LAKE RS MT                     	 LATT=  47.22 LONG=-113.52
131.236.43.51	05:28 pm  Monday January 5, 2009	30	  MOUNT SHASTA CA                       	 LATT=  41.32 LONG=-122.32
198.238.176.52	02:11 pm  Tuesday January 6, 2009	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
208.71.143.61	03:15 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:16 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:16 pm  Tuesday January 6, 2009	50	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:16 pm  Tuesday January 6, 2009	20	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:17 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:17 pm  Tuesday January 6, 2009	50	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:17 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:17 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:17 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:18 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:18 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:18 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:18 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:19 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:19 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:19 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:19 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:20 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:21 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:21 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:33 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
208.71.143.61	03:34 pm  Tuesday January 6, 2009	30	  EDLV Analysis Area Climate +          	 LATT=  46.65 LONG= 112.58
z166729-209.ip.fs.fed.us	11:27 am  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z166729-209.ip.fs.fed.us	11:32 am  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z166729-209.ip.fs.fed.us	11:34 am  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z166729-209.ip.fs.fed.us	11:36 am  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z166729-209.ip.fs.fed.us	11:36 am  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z1666122-218.ip.fs.fed.us	01:42 pm  Wednesday January 7, 2009	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
z1666122-218.ip.fs.fed.us	01:44 pm  Wednesday January 7, 2009	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
z1666122-218.ip.fs.fed.us	01:49 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.58 LONG= 123.29
z1666122-218.ip.fs.fed.us	01:53 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.58 LONG= 123.29
z166729-209.ip.fs.fed.us	02:04 pm  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z1666122-218.ip.fs.fed.us	02:37 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:40 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:42 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:42 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:43 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:46 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:47 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:51 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:52 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z1666122-218.ip.fs.fed.us	02:52 pm  Wednesday January 7, 2009	30	  mod SEXTON SUMMIT WB OR +             	 LATT=  42.03 LONG= 123.19
z166729-209.ip.fs.fed.us	02:53 pm  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z166729-209.ip.fs.fed.us	02:55 pm  Wednesday January 7, 2009	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
z166247-163.ip.fs.fed.us	01:12 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:19 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:22 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:25 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:31 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:33 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:36 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:40 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	01:42 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	02:32 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	02:35 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	02:40 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	02:44 pm  Thursday January 8, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
bbe200358608.bae.umn.edu	07:22 am  Friday January 9, 2009	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
75.160.168.41	11:19 am  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	11:25 am  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	11:26 am  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	11:28 am  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	11:32 am  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	11:41 am  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	12:31 pm  Friday January 9, 2009	30	  MYSTIC LAKE MT                        	 LATT=  45.23 LONG=-109.75
75.160.168.41	12:35 pm  Friday January 9, 2009	30	  MYSTIC LAKE MT                        	 LATT=  45.23 LONG=-109.75
75.160.168.41	12:36 pm  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	12:39 pm  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	02:49 pm  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	02:51 pm  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	02:51 pm  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	02:56 pm  Friday January 9, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	09:07 am  Monday January 12, 2009	30	  MYSTIC LAKE MT                        	 LATT=  45.23 LONG=-109.75
75.160.168.41	09:51 am  Monday January 12, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	09:51 am  Monday January 12, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	09:52 am  Monday January 12, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	09:54 am  Monday January 12, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	09:55 am  Monday January 12, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	10:32 am  Tuesday January 13, 2009	50	  MYSTIC LAKE MT                        	 LATT=  45.23 LONG=-109.75
75.160.168.41	10:32 am  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	10:33 am  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	10:33 am  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	10:34 am  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	10:35 am  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:18 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:18 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:19 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:21 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:21 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:22 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:22 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:23 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:24 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:25 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:25 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:26 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:27 pm  Tuesday January 13, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	02:00 pm  Tuesday January 13, 2009	30	  MYSTIC LAKE MT                        	 LATT=  45.23 LONG=-109.75
z166347-248.ip.fs.fed.us	03:11 pm  Tuesday January 13, 2009	30	  FORT BAYARD NM +                      	 LATT=  32.84 LONG= 108.07
75.160.168.41	09:02 am  Wednesday January 14, 2009	30	  MYSTIC LAKE MT                        	 LATT=  45.23 LONG=-109.75
z166498-60.ip.fs.fed.us	10:29 am  Wednesday January 14, 2009	30	  FARMERS KY                            	 LATT=  38.15 LONG= -83.55
z166498-60.ip.fs.fed.us	10:32 am  Wednesday January 14, 2009	30	  FARMERS KY                            	 LATT=  38.15 LONG= -83.55
z166498-60.ip.fs.fed.us	11:07 am  Wednesday January 14, 2009	30	  FARMERS KY                            	 LATT=  38.15 LONG= -83.55
75.160.168.41	11:54 am  Wednesday January 14, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	12:03 pm  Wednesday January 14, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
75.160.168.41	12:04 pm  Wednesday January 14, 2009	30	  SUNNYSIDE UT                          	 LATT=  39.57 LONG=-110.37
z1664115-85.ip.fs.fed.us	12:24 pm  Wednesday January 14, 2009	30	  HIGHLANDS 2 S NC                      	 LATT=  35.03 LONG= -83.20
z1664115-85.ip.fs.fed.us	12:25 pm  Wednesday January 14, 2009	1		
z1664115-85.ip.fs.fed.us	12:29 pm  Wednesday January 14, 2009	30	  HIGHLANDS 2 S NC                      	 LATT=  35.03 LONG= -83.20
z166222-158.ip.fs.fed.us	03:54 pm  Wednesday January 14, 2009	30	  CHEESMAN CO                           	 LATT=  39.22 LONG=-105.28
75.160.168.41	07:42 am  Thursday January 15, 2009	30	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	07:42 am  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	08:27 am  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
z166253-227.ip.fs.fed.us	10:43 am  Thursday January 15, 2009	50	  ELY WBO NV                            	 LATT=  39.28 LONG=-114.85
z1667227-203.ip.fs.fed.us	11:42 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:43 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:44 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:45 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:45 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:46 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:47 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:48 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:50 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:51 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	11:51 am  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	12:09 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	12:09 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z166253-227.ip.fs.fed.us	12:12 pm  Thursday January 15, 2009	50	  ELY WBO NV                            	 LATT=  39.28 LONG=-114.85
z166253-227.ip.fs.fed.us	12:12 pm  Thursday January 15, 2009	50	  ELY WBO NV                            	 LATT=  39.28 LONG=-114.85
z166253-227.ip.fs.fed.us	12:13 pm  Thursday January 15, 2009	50	  ELY WBO NV                            	 LATT=  39.28 LONG=-114.85
75.160.168.41	12:22 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
z166253-227.ip.fs.fed.us	12:24 pm  Thursday January 15, 2009	50	  ELY WBO NV                            	 LATT=  39.28 LONG=-114.85
75.160.168.41	12:28 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:33 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:35 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	12:37 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
z1667227-203.ip.fs.fed.us	01:20 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	01:21 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	01:21 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	01:21 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	01:22 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	01:32 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
z1667227-203.ip.fs.fed.us	01:33 pm  Thursday January 15, 2009	30	  BIGFORK 12 S MT                       	 LATT=  47.88 LONG=-114.03
75.160.168.41	02:34 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	02:39 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
75.160.168.41	02:41 pm  Thursday January 15, 2009	50	  Big Sky 34, MT +                      	 LATT=  45.30 LONG= 111.17
